,number_of_visits,total_quantity,average_quantity,total_spend,average_spend,BAKERY,CASHPOINT,CONFECTIONARY,DAIRY,DELI,DISCOUNT_BAKERY,DRINKS,FROZEN,FRUIT_VEG,GROCERY_FOOD,GROCERY_HEALTH_PETS,LOTTERY,MEAT,NEWSPAPERS_MAGAZINES,PRACTICAL_ITEMS,PREPARED_MEALS,SEASONAL_GIFTING,SOFT_DRINKS,TOBACCO,WORLD_FOODS,cluster_group
175,21,416,19.81,592.45,28.21,2.09,0.0,43.37,56.41,7.87,0.0,54.78,34.15,77.24,88.98,36.36,0.0,61.33,0.6,0.0,18.23,29.95,0.0,0.0,1.88,1.0
176,69,700,10.14,753.79,10.92,15.5,0.0,59.53,115.57,2.31,0.0,0.0,74.58,171.35,98.1,14.09,0.0,25.89,22.71,0.0,23.99,5.08,3.44,0.0,4.46,4.0
177,17,207,12.18,242.0,14.24,0.89,0.0,75.56,36.14,6.8,0.0,51.42,8.25,8.7,50.87,3.82,0.0,8.67,21.48,0.0,19.15,5.06,20.44,0.0,0.0,5.0
178,183,1068,5.84,1342.48,7.34,43.83,0.0,250.15,114.94,0.0,0.0,418.28,99.98,127.74,208.95,68.82,1.0,15.88,20.0,0.0,4.68,33.97,67.32,0.0,10.63,3.0
179,11,67,6.09,81.76,7.43,5.65,17.5,1.46,12.91,0.0,0.0,0.0,3.48,4.03,2.99,7.24,0.0,4.75,0.9,6.38,13.2,0.0,5.05,0.0,2.18,5.0
180,66,294,4.45,1074.51,16.28,3.96,35.0,11.04,40.33,9.92,0.0,0.0,17.1,25.12,55.94,54.83,0.0,0.97,1.75,5.29,4.83,0.0,6.51,351.06,0.0,4.0
181,27,576,21.33,576.91,21.37,20.62,0.0,42.79,79.75,26.38,3.58,87.98,1.89,23.4,137.51,46.58,0.0,15.62,4.89,0.0,8.53,0.0,0.66,0.0,0.19,1.0
182,110,621,5.65,1155.45,10.5,14.72,55.0,77.89,73.01,4.85,0.0,476.8,14.43,48.04,24.48,32.53,9.0,83.68,0.42,12.31,22.34,12.89,21.91,0.0,6.78,4.0
183,11,436,39.64,646.4,58.76,48.28,0.0,75.66,69.33,0.0,0.0,0.0,38.87,73.88,109.66,102.55,0.0,11.0,3.8,2.12,84.21,2.09,31.87,0.0,2.28,1.0
184,7,237,33.86,328.02,46.86,12.25,0.0,70.89,32.21,0.0,0.0,122.45,9.31,30.41,129.54,22.69,0.0,18.94,10.35,0.0,48.21,0.84,31.56,0.0,19.79,1.0
185,111,746,6.72,1055.42,9.51,8.09,30.0,76.32,73.0,0.0,45.37,0.0,177.52,55.68,122.09,33.93,0.0,189.88,1.7,0.76,16.58,2.69,14.73,0.0,0.0,4.0
186,51,327,6.41,338.9,6.65,18.11,5.0,47.26,39.36,0.0,0.0,28.18,13.98,76.73,51.17,6.78,0.0,2.59,0.0,1.83,1.59,0.0,0.5,0.0,0.99,5.0
187,26,415,15.96,457.6,17.6,58.43,0.0,32.09,67.15,0.0,0.0,0.0,5.78,63.13,52.91,23.28,0.0,30.91,3.15,0.0,65.15,0.0,27.21,0.0,0.0,5.0
188,13,200,15.38,183.61,14.12,1.35,0.0,29.74,38.22,11.0,0.0,3.4,14.08,13.71,26.45,21.49,0.0,2.49,1.96,0.0,0.59,0.0,2.22,0.0,3.56,5.0
189,34,593,17.44,843.44,24.81,66.1,0.0,90.4,9.79,0.0,0.0,34.44,20.91,374.93,32.23,58.12,2.0,132.01,0.65,0.0,12.62,11.9,11.97,0.0,0.0,1.0
190,41,803,19.59,1239.92,30.24,18.08,0.0,65.17,138.07,1.76,0.0,242.65,18.73,233.83,157.24,54.66,0.0,112.29,21.69,5.52,16.27,1.86,3.09,0.0,3.69,1.0
